verb,Levin_classes
poster,"butter(Verbs of Putting),"
lint,"pit(Verbs of Removing),"
line,"fill(Verbs of Putting),"
dull,"other change-of-state(Verbs of Change of State),"
mystify,"amuse(Psych-Verbs),"
discomfit,"amuse(Psych-Verbs),"
mature,"grow(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
groove,"butter(Verbs of Putting),"
repulse,"amuse(Psych-Verbs),"
dehumidify,"other change-of-state(Verbs of Change of State),"
steepen,"other change-of-state(Verbs of Change of State),"
confiscate,"steal(Verbs of Removing),cheat(Verbs of Removing),"
haunt,"amuse(Psych-Verbs),"
deprive,"cheat(Verbs of Removing),"
cure,"cheat(Verbs of Removing),"
curl,"coil(Verbs of Putting),"
nab,"steal(Verbs of Removing),"
suffuse,"fill(Verbs of Putting),"
scrape,"funnel(Verbs of Putting),wipe(Verbs of Removing),cut(Verbs of Cutting),"
nick,"carve(Verbs of Cutting),"
forge,"scribble(Image Creation Verbs),transcribe(Image Creation Verbs),build(Verbs of Creation and Transformation),"
assassinate,"murder(Verbs of Killing),"
quaff,"gobble(Verbs of Ingesting),"
draw,"remove(Verbs of Removing),push/pull(Verbs of Exerting Force: Push/Pull Verbs),scribble(Image Creation Verbs),performance(Verbs of Creation and Transformation),"
cellar,"pocket(Verbs of Putting),"
scrub,"wipe(Verbs of Removing),"
lend,"give(Verbs of Change of Possession),"
drag,"carry(Verbs of Sending and Carrying),search(Verbs of Searching),"
macerate,"other change-of-state(Verbs of Change of State),"
wrinkle,"bend(Verbs of Change of State),"
deglaze,"debone(Verbs of Removing),"
land,"pocket(Verbs of Putting),"
blend,"preparing(Verbs of Creation and Transformation),"
age,"other change-of-state(Verbs of Change of State),"
liquefy,"other change-of-state(Verbs of Change of State),"
remit,"contribute(Verbs of Change of Possession),"
crease,"bend(Verbs of Change of State),"
disencumber,"cheat(Verbs of Removing),"
crinkle,"bend(Verbs of Change of State),"
yank,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
rinse,"wipe(Verbs of Removing),"
pinion,"pit(Verbs of Removing),"
scratch,"wipe(Verbs of Removing),swat(Verbs of Contact by Impact),cut(Verbs of Cutting),scribble(Image Creation Verbs),rummage(Verbs of Searching),"
broaden,"other change-of-state(Verbs of Change of State),"
despise,"admire(Psych-Verbs),"
soften,"other change-of-state(Verbs of Change of State),"
ionize,"other change-of-state(Verbs of Change of State),"
barbecue,"cook(Verbs of Change of State),"
emboss,"image-impression(Image Creation Verbs),"
strew,"spray/load(Verbs of Putting),"
encrust,"fill(Verbs of Putting),"
carbonify,"other change-of-state(Verbs of Change of State),"
compose,"create(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),"
asphalt,"butter(Verbs of Putting),"
destress,"debone(Verbs of Removing),"
send,"send(Verbs of Sending and Carrying),"
oven-fry,"cook(Verbs of Change of State),"
blaze,"light emission(Verbs of Emission),"
stable,"pocket(Verbs of Putting),"
dislike,"admire(Psych-Verbs),"
gravel,"butter(Verbs of Putting),"
annoy,"amuse(Psych-Verbs),"
electrocute,"poison(Verbs of Killing),"
ladle,"funnel(Verbs of Putting),"
spool,"pocket(Verbs of Putting),"
spoon,"funnel(Verbs of Putting),"
spook,"amuse(Psych-Verbs),"
wipe,"funnel(Verbs of Putting),wipe(Verbs of Removing),"
arrange,"putting(Verbs of Putting),build(Verbs of Creation and Transformation),"
shock,"amuse(Psych-Verbs),"
try,"amuse(Psych-Verbs),"
cloister,"pocket(Verbs of Putting),conceal(Verbs of Concealment),"
stratify,"other change-of-state(Verbs of Change of State),"
pilfer,"steal(Verbs of Removing),"
frost,"other change-of-state(Verbs of Change of State),"
trawl,"search(Verbs of Searching),"
blitz,"destroy(Destroy Verbs),"
crop,"carve(Verbs of Cutting),"
jump,"calibratable change-of-state(Verbs of Change of State),"
fold,"build(Verbs of Creation and Transformation),knead(Verbs of Creation and Transformation),bend(Verbs of Change of State),"
click,"sound emission(Verbs of Emission),"
poke,"poke(Poke Verbs),rummage(Verbs of Searching),"
speckle,"fill(Verbs of Putting),"
paddle,"spank(Verbs of Contact by Impact),"
proffer,"contribute(Verbs of Change of Possession),"
exchange,"exchange(Verbs of Change of Possession),"
punch,"swat(Verbs of Contact by Impact),carve(Verbs of Cutting),"
explore,"investigate(Verbs of Searching),"
acquit,"cheat(Verbs of Removing),"
sink,"other change-of-state(Verbs of Change of State),"
sing,"performance(Verbs of Creation and Transformation),"
convert,"turn(Verbs of Creation and Transformation),"
engage,"amuse(Psych-Verbs),"
receive,"obtain(Verbs of Change of Possession),"
chant,"performance(Verbs of Creation and Transformation),"
scatter,"spray/load(Verbs of Putting),"
repel,"amuse(Psych-Verbs),"
survey,"sight(Verbs of Perception),investigate(Verbs of Searching),"
climb,"calibratable change-of-state(Verbs of Change of State),inherently directed motion(Verbs of Motion),"
shovel,"funnel(Verbs of Putting),wipe(Verbs of Removing),carry(Verbs of Sending and Carrying),push/pull(Verbs of Exerting Force: Push/Pull Verbs),throw(Verbs of Throwing),"
win,"get(Verbs of Change of Possession),"
decrease,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),"
extirpate,"remove(Verbs of Removing),destroy(Destroy Verbs),"
mortify,"amuse(Psych-Verbs),"
patrol,"search(Verbs of Searching),"
imbue,"fill(Verbs of Putting),"
snoop,"peer(Verbs of Perception),rummage(Verbs of Searching),"
doodle,"scribble(Image Creation Verbs),"
cram,"spray/load(Verbs of Putting),learn(Learn Verbs),"
panel,"butter(Verbs of Putting),"
depreciate,"calibratable change-of-state(Verbs of Change of State),"
pencil,"scribble(Image Creation Verbs),"
billet,"pocket(Verbs of Putting),"
impress,"amuse(Psych-Verbs),"
thatch,"butter(Verbs of Putting),"
trail,"chase(Verbs of Motion),"
entangle,"fill(Verbs of Putting),"
thwack,"hit(Verbs of Contact by Impact),"
tunnel,"rummage(Verbs of Searching),"
hardboil,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
delint,"debone(Verbs of Removing),"
pour,"pour(Verbs of Putting),preparing(Verbs of Creation and Transformation),substance emission(Verbs of Emission),"
reproduce,"other change-of-state(Verbs of Change of State),"
thin,"other change-of-state(Verbs of Change of State),"
drill,"carve(Verbs of Cutting),"
parquet,"butter(Verbs of Putting),"
fetch,"get(Verbs of Change of Possession),"
wedge,"funnel(Verbs of Putting),"
tap,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),investigate(Verbs of Searching),"
tar,"butter(Verbs of Putting),"
slim,"other change-of-state(Verbs of Change of State),"
pan-broil,"cook(Verbs of Change of State),"
slit,"carve(Verbs of Cutting),"
tag,"butter(Verbs of Putting),illustrate(Image Creation Verbs),"
bend,"knead(Verbs of Creation and Transformation),bend(Verbs of Change of State),"
slip,"send(Verbs of Sending and Carrying),"
devastate,"amuse(Psych-Verbs),destroy(Destroy Verbs),"
tan,"other change-of-state(Verbs of Change of State),"
surge,"calibratable change-of-state(Verbs of Change of State),"
hangar,"pocket(Verbs of Putting),"
sip,"chew(Verbs of Ingesting),"
memorize,"learn(Learn Verbs),"
decimate,"destroy(Destroy Verbs),"
charbroil,"cook(Verbs of Change of State),"
forest,"butter(Verbs of Putting),"
weaken,"other change-of-state(Verbs of Change of State),"
deplore,"admire(Psych-Verbs),"
stock,"spray/load(Verbs of Putting),"
halter,"butter(Verbs of Putting),"
wallpaper,"butter(Verbs of Putting),"
autograph,"illustrate(Image Creation Verbs),"
pocket,"pocket(Verbs of Putting),"
drape,"spray/load(Verbs of Putting),"
bind,"fill(Verbs of Putting),pocket(Verbs of Putting),"
corral,"pocket(Verbs of Putting),"
scoop,"funnel(Verbs of Putting),"
acetify,"other change-of-state(Verbs of Change of State),"
furnish,"fulfilling(Verbs of Change of Possession),"
ignite,"other change-of-state(Verbs of Change of State),"
move,"slide(Verbs of Sending and Carrying),amuse(Psych-Verbs),"
disarm,"cheat(Verbs of Removing),amuse(Psych-Verbs),"
beguile,"amuse(Psych-Verbs),"
embezzle,"steal(Verbs of Removing),"
decay,"entity-specific change-of-state(Verbs of Change of State),"
cudgel,"spank(Verbs of Contact by Impact),"
choose,"get(Verbs of Change of Possession),"
demoralize,"amuse(Psych-Verbs),"
crash,"non-agentive impact(Verbs of Contact by Impact),sound emission(Verbs of Emission),break(Verbs of Change of State),"
swaddle,"fill(Verbs of Putting),"
dab,"spray/load(Verbs of Putting),wipe(Verbs of Removing),"
flour,"butter(Verbs of Putting),"
muddle,"amuse(Psych-Verbs),"
dock,"pocket(Verbs of Putting),"
sandpaper,"wipe(Verbs of Removing),"
kiss,"touch(Verbs of Contact: Touch Verbs),"
cage,"pocket(Verbs of Putting),"
thrill,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
slacken,"other change-of-state(Verbs of Change of State),"
slide,"slide(Verbs of Sending and Carrying),"
trap,"pocket(Verbs of Putting),"
scorch,"other change-of-state(Verbs of Change of State),"
brush,"spray/load(Verbs of Putting),wipe(Verbs of Removing),non-agentive impact(Verbs of Contact by Impact),"
illuminate,"illustrate(Image Creation Verbs),"
bump,"hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),"
witness,"see(Verbs of Perception),sight(Verbs of Perception),"
stud,"fill(Verbs of Putting),"
stun,"amuse(Psych-Verbs),"
dive,"search(Verbs of Searching),"
obsess,"amuse(Psych-Verbs),"
lob,"throw(Verbs of Throwing),"
shut,"other change-of-state(Verbs of Change of State),"
graze,"touch(Verbs of Contact: Touch Verbs),"
intersperse,"fill(Verbs of Putting),"
tempt,"amuse(Psych-Verbs),"
thrust,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
embarrass,"amuse(Psych-Verbs),"
bleed,"cheat(Verbs of Removing),"
spill,"pour(Verbs of Putting),"
peeve,"amuse(Psych-Verbs),"
steal,"steal(Verbs of Removing),get(Verbs of Change of Possession),"
keep,"get(Verbs of Change of Possession),keep(Hold and Keep Verbs),"
shred,"carve(Verbs of Cutting),"
uproot,"remove(Verbs of Removing),"
stimulate,"amuse(Psych-Verbs),"
confuse,"amuse(Psych-Verbs),"
extrude,"remove(Verbs of Removing),"
scent,"sight(Verbs of Perception),"
coagulate,"other change-of-state(Verbs of Change of State),"
stencil,"scribble(Image Creation Verbs),"
fray,"other change-of-state(Verbs of Change of State),"
jingle,"sound emission(Verbs of Emission),"
boil,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
beard,"pit(Verbs of Removing),"
shell,"pit(Verbs of Removing),"
accompany,"accompany(Verbs of Motion),"
quarry,"mine(Verbs of Removing),search(Verbs of Searching),"
chagrin,"amuse(Psych-Verbs),"
crackle,"sound emission(Verbs of Emission),"
acquire,"obtain(Verbs of Change of Possession),learn(Learn Verbs),"
debowel,"debone(Verbs of Removing),"
diminish,"other change-of-state(Verbs of Change of State),other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),"
photograph,"transcribe(Image Creation Verbs),"
prune,"carve(Verbs of Cutting),"
bother,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
see,"see(Verbs of Perception),"
bed,"pocket(Verbs of Putting),"
light,"preparing(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
spurt,"pour(Verbs of Putting),"
steep,"other change-of-state(Verbs of Change of State),"
stipple,"fill(Verbs of Putting),"
clip,"cut(Verbs of Cutting),"
neutralize,"other change-of-state(Verbs of Change of State),"
splatter,"spray/load(Verbs of Putting),"
defoam,"debone(Verbs of Removing),"
torment,"amuse(Psych-Verbs),"
waken,"other change-of-state(Verbs of Change of State),"
heft,"carry(Verbs of Sending and Carrying),"
soak,"fill(Verbs of Putting),wipe(Verbs of Removing),other change-of-state(Verbs of Change of State),"
mix,"preparing(Verbs of Creation and Transformation),"
neaten,"other change-of-state(Verbs of Change of State),"
truck,"drive(Verbs of Sending and Carrying),"
soar,"calibratable change-of-state(Verbs of Change of State),"
disgorge,"remove(Verbs of Removing),"
siphon,"funnel(Verbs of Putting),wipe(Verbs of Removing),"
filch,"steal(Verbs of Removing),"
propagate,"other change-of-state(Verbs of Change of State),"
delve,"rummage(Verbs of Searching),"
awe,"amuse(Psych-Verbs),"
clasp,"hold(Hold and Keep Verbs),"
discourage,"amuse(Psych-Verbs),"
eject,"remove(Verbs of Removing),"
gather,"get(Verbs of Change of Possession),"
upset,"amuse(Psych-Verbs),"
face,"fill(Verbs of Putting),"
brew,"preparing(Verbs of Creation and Transformation),"
thicken,"other change-of-state(Verbs of Change of State),"
unsettle,"amuse(Psych-Verbs),"
seclude,"conceal(Verbs of Concealment),"
crate,"pocket(Verbs of Putting),"
bring,"bring/take(Verbs of Sending and Carrying),"
rouge,"butter(Verbs of Putting),"
spindle,"pocket(Verbs of Putting),"
staff,"fill(Verbs of Putting),"
disillusion,"amuse(Psych-Verbs),"
tire,"amuse(Psych-Verbs),other change-of-state(Verbs of Change of State),"
jar,"pocket(Verbs of Putting),amuse(Psych-Verbs),appeal(Psych-Verbs),"
brighten,"other change-of-state(Verbs of Change of State),"
eat,"eat(Verbs of Ingesting),"
jam,"spray/load(Verbs of Putting),"
tape,"transcribe(Image Creation Verbs),"
fuel,"butter(Verbs of Putting),"
jab,"poke(Poke Verbs),"
dodge,"avoid(Avoid Verbs),"
gratify,"amuse(Psych-Verbs),"
cube,"carve(Verbs of Cutting),"
handle,"hold(Hold and Keep Verbs),"
starch,"butter(Verbs of Putting),"
beat,"hit(Verbs of Contact by Impact),knead(Verbs of Creation and Transformation),sound emission(Verbs of Emission),"
massacre,"murder(Verbs of Killing),"
glutenize,"other change-of-state(Verbs of Change of State),"
pave,"fill(Verbs of Putting),"
beam,"light emission(Verbs of Emission),"
wring,"funnel(Verbs of Putting),wipe(Verbs of Removing),"
swindle,"cheat(Verbs of Removing),"
smash,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),break(Verbs of Change of State),"
dishearten,"amuse(Psych-Verbs),"
quarantine,"conceal(Verbs of Concealment),"
grab,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
conduct,"accompany(Verbs of Motion),"
view,"sight(Verbs of Perception),"
expel,"remove(Verbs of Removing),banish(Verbs of Removing),"
smooth,"wipe(Verbs of Removing),other change-of-state(Verbs of Change of State),"
frame,"fill(Verbs of Putting),butter(Verbs of Putting),"
pitch,"butter(Verbs of Putting),throw(Verbs of Throwing),"
freeze,"knead(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
dislodge,"remove(Verbs of Removing),"
powder,"butter(Verbs of Putting),"
airmail,"send(Verbs of Sending and Carrying),"
wire,"drive(Verbs of Sending and Carrying),"
extradite,"banish(Verbs of Removing),"
favor,"admire(Psych-Verbs),"
lug,"carry(Verbs of Sending and Carrying),"
email,"send(Verbs of Sending and Carrying),"
deliver,"send(Verbs of Sending and Carrying),"
stucco,"butter(Verbs of Putting),"
solace,"amuse(Psych-Verbs),"
inundate,"fill(Verbs of Putting),"
sniff,"peer(Verbs of Perception),"
drug,"butter(Verbs of Putting),"
spatter,"spray/load(Verbs of Putting),"
swallow,"gobble(Verbs of Ingesting),"
roughen,"other change-of-state(Verbs of Change of State),"
respect,"admire(Psych-Verbs),"
blink,"light emission(Verbs of Emission),"
electrify,"amuse(Psych-Verbs),"
disintegrate,"other change-of-state(Verbs of Change of State),"
muddy,"other change-of-state(Verbs of Change of State),"
spoonfeed,"feeding(Verbs of Ingesting),"
quiz,"investigate(Verbs of Searching),"
applique,"image-impression(Image Creation Verbs),"
curtain,"conceal(Verbs of Concealment),"
feather,"butter(Verbs of Putting),"
waste,"destroy(Destroy Verbs),"
bottlefeed,"feeding(Verbs of Ingesting),"
nickel,"butter(Verbs of Putting),"
tense,"other change-of-state(Verbs of Change of State),"
overturn,"other change-of-state(Verbs of Change of State),"
present,"fulfilling(Verbs of Change of Possession),"
banish,"banish(Verbs of Removing),"
intimidate,"amuse(Psych-Verbs),"
ripen,"other change-of-state(Verbs of Change of State),"
value,"admire(Psych-Verbs),"
chalk,"scribble(Image Creation Verbs),"
magnetize,"other change-of-state(Verbs of Change of State),"
hearten,"amuse(Psych-Verbs),"
thud,"non-agentive impact(Verbs of Contact by Impact),"
deep-fry,"cook(Verbs of Change of State),"
capture,"steal(Verbs of Removing),"
balloon,"calibratable change-of-state(Verbs of Change of State),"
cross,"inherently directed motion(Verbs of Motion),"
wangle,"steal(Verbs of Removing),"
dam,"fill(Verbs of Putting),"
shuttle,"drive(Verbs of Sending and Carrying),"
tighten,"other change-of-state(Verbs of Change of State),"
balk,"cheat(Verbs of Removing),"
drink,"eat(Verbs of Ingesting),"
dust,"spray/load(Verbs of Putting),wipe(Verbs of Removing),"
expand,"other change-of-state(Verbs of Change of State),"
fascinate,"amuse(Psych-Verbs),"
enrage,"amuse(Psych-Verbs),"
twirl,"coil(Verbs of Putting),knead(Verbs of Creation and Transformation),"
position,"putting(Verbs of Putting),"
restore,"contribute(Verbs of Change of Possession),"
excise,"remove(Verbs of Removing),"
rocket,"calibratable change-of-state(Verbs of Change of State),"
obtain,"obtain(Verbs of Change of Possession),"
replenish,"fill(Verbs of Putting),"
distend,"other change-of-state(Verbs of Change of State),"
console,"amuse(Psych-Verbs),"
flee,"inherently directed motion(Verbs of Motion),"
bench,"pocket(Verbs of Putting),"
dehair,"debone(Verbs of Removing),"
kick,"carry(Verbs of Sending and Carrying),throw(Verbs of Throwing),hit(Verbs of Contact by Impact),"
magnify,"other change-of-state(Verbs of Change of State),"
sweep,"funnel(Verbs of Putting),wipe(Verbs of Removing),"
haul,"carry(Verbs of Sending and Carrying),"
burden,"equip(Verbs of Change of Possession),"
press,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
crisp,"cook(Verbs of Change of State),other change-of-state(Verbs of Change of State),"
like,"admire(Psych-Verbs),"
garage,"pocket(Verbs of Putting),"
stagger,"amuse(Psych-Verbs),"
divest,"cheat(Verbs of Removing),"
page,"rummage(Verbs of Searching),"
heel,"butter(Verbs of Putting),"
glare,"peer(Verbs of Perception),"
tumble,"calibratable change-of-state(Verbs of Change of State),"
hush,"other change-of-state(Verbs of Change of State),"
husk,"pit(Verbs of Removing),"
convey,"send(Verbs of Sending and Carrying),"
flush,"wipe(Verbs of Removing),"
drizzle,"spray/load(Verbs of Putting),"
transport,"send(Verbs of Sending and Carrying),amuse(Psych-Verbs),"
leaf,"rummage(Verbs of Searching),"
lead,"accompany(Verbs of Motion),"
avoid,"avoid(Avoid Verbs),"
lean,"putting-in-spatial-config(Verbs of Putting),"
percolate,"cook(Verbs of Change of State),"
regain,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
pepper,"butter(Verbs of Putting),"
hose,"wipe(Verbs of Removing),"
slug,"swat(Verbs of Contact by Impact),"
raise,"putting-in-specified-direction(Verbs of Putting),"
saddle,"butter(Verbs of Putting),equip(Verbs of Change of Possession),"
stir-fry,"cook(Verbs of Change of State),"
ingest,"devour(Verbs of Ingesting),"
idolize,"admire(Psych-Verbs),"
fear,"admire(Psych-Verbs),"
esteem,"admire(Psych-Verbs),"
transfer,"send(Verbs of Sending and Carrying),contribute(Verbs of Change of Possession),"
condense,"other change-of-state(Verbs of Change of State),"
imbibe,"devour(Verbs of Ingesting),"
solidify,"other change-of-state(Verbs of Change of State),"
funnel,"funnel(Verbs of Putting),"
buy,"get(Verbs of Change of Possession),"
elate,"amuse(Psych-Verbs),"
interest,"amuse(Psych-Verbs),"
bus,"drive(Verbs of Sending and Carrying),"
brand,"illustrate(Image Creation Verbs),"
evacuate,"banish(Verbs of Removing),"
plague,"amuse(Psych-Verbs),"
gain,"get(Verbs of Change of Possession),calibratable change-of-state(Verbs of Change of State),"
grate,"carve(Verbs of Cutting),appeal(Psych-Verbs),"
squeeze,"funnel(Verbs of Putting),wipe(Verbs of Removing),knead(Verbs of Creation and Transformation),"
bug,"amuse(Psych-Verbs),"
compute,"create(Verbs of Creation and Transformation),"
embolden,"amuse(Psych-Verbs),"
grieve,"amuse(Psych-Verbs),"
flip,"throw(Verbs of Throwing),"
distract,"amuse(Psych-Verbs),"
record,"transcribe(Image Creation Verbs),"
convince,"amuse(Psych-Verbs),"
rupture,"other change-of-state(Verbs of Change of State),"
deice,"debone(Verbs of Removing),"
recognize,"sight(Verbs of Perception),"
contribute,"contribute(Verbs of Change of Possession),"
twist,"coil(Verbs of Putting),knead(Verbs of Creation and Transformation),"
ink,"butter(Verbs of Putting),scribble(Image Creation Verbs),"
pip,"pit(Verbs of Removing),"
pit,"pit(Verbs of Removing),"
mushroom,"calibratable change-of-state(Verbs of Change of State),"
book,"get(Verbs of Change of Possession),"
humidify,"other change-of-state(Verbs of Change of State),"
spraypaint,"color(Verbs of Coloring),scribble(Image Creation Verbs),"
redden,"other change-of-state(Verbs of Change of State),"
mulch,"butter(Verbs of Putting),"
frustrate,"amuse(Psych-Verbs),"
stab,"swat(Verbs of Contact by Impact),poison(Verbs of Killing),"
mulct,"cheat(Verbs of Removing),"
wallop,"spank(Verbs of Contact by Impact),"
pacify,"amuse(Psych-Verbs),"
veil,"fill(Verbs of Putting),butter(Verbs of Putting),"
vein,"fill(Verbs of Putting),pit(Verbs of Removing),"
prize,"admire(Psych-Verbs),"
extort,"steal(Verbs of Removing),"
shunt,"send(Verbs of Sending and Carrying),"
abhor,"admire(Psych-Verbs),"
